BioProject_ID,Biome_Environment,Data_Type,Rationale,Citation
PRJNA665391,Hyper-Arid Desert (Atacama),WGS metagenome,Atacama hyperarid core (Yungay). 170 Gb WGS. Published in Microbiome 2021. Best desiccation/UV stress control for distinguishing desert-adapted vs. mineral-weathering communities.,"Hwang Y,,Rahlff J,Schulze-Makuch D,,Schloter M,Probst AJ.2021.Diverse Viruses Carrying Genes for Microbial Extremotolerance in the Atacama Desert Hyperarid Soil. mSystems6:10.1128/msystems.00385-21.https://doi.org/10.1128/msystems.00385-21"
PRJNA971922,Hyper-Arid Desert (Atacama),WGS metagenome,Atacama rhizospheric soil of D. spicata and S. foliosa. Rhizosphere-specific metagenomics from hyperarid core. Directly relevant to rhizosphere comparison.,"Fortt J, Castro-Severyn J, Choque A, Donoso G, Stoll A, Jones DL, Saavedra CP, Fuentes B and Remonsellez F (2025) Plant species-specific rhizobiome assembly in the hyper-arid Atacama Desert. Front. Microbiol. 16:1587491. doi: 10.3389/fmicb.2025.1587491"
PRJNA484096,Hyper-Arid Desert (Negev),WGS metagenome,Negev Desert crust and bulk soil communities. 112 SRA experiments ~4 Gb. Second arid desert comparison for cross-validation of desert selection patterns.,"C. Baubin, A.M. Farrell, A. Šťovíček, L. Ghazaryan, I. Giladi, O. Gillor,
Seasonal and spatial variability in total and active bacterial communities from desert soil,
Pedobiologia,
Volume 74,
2019,
Pages 7-14,
ISSN 0031-4056,
https://doi.org/10.1016/j.pedobi.2019.02.001."
PRJNA527658,Antarctic Dry Valleys (McMurdo),WGS metagenome,McMurdo Dry Valleys (Miers + Beacon Valley). Ion Torrent WGS 38 SRA experiments. Oligotrophic mineral soil analog for lithotrophic pathway comparison.,"Baptista, M.S., Lee, C.K., Monteiro, M.R. et al. Soils of two Antarctic Dry Valleys exhibit unique microbial community structures in response to similar environmental disturbances. Environmental Microbiome 19, 52 (2024). https://doi.org/10.1186/s40793-024-00587-0"
PRJNA827358,Antarctic Dry Valleys (McMurdo),WGS metagenome,Nutrient addition microcosms from Antarctic dry valley soil. 40 SRA experiments. Experimental nutrient manipulation in McMurdo mineral soils.,"Girish R Nair, Bhaveni B Kooverjee, Storme de Scally, Don A Cowan, Thulani P Makhalanyane, Changes in nutrient availability substantially alter bacteria and extracellular enzymatic activities in Antarctic soils, FEMS Microbiology Ecology, Volume 100, Issue 6, June 2024, fiae071, https://doi.org/10.1093/femsec/fiae071"
PRJEB42339,Volcanic/Basaltic (Iceland — Surtsey),WGS metagenome,Surtsey volcanic island basalt-hosted subsurface microbial communities. 59 SRA experiments ~3 Gb. Most direct mineral analog to lunar mare regolith. Critical for mineral-weathering phenotypes.,"Bergsten P, Vannier P, Klonowski AM, Knobloch S, Gudmundsson MT, Jackson MD and Marteinsson VT (2021) Basalt-Hosted Microbial Communities in the Subsurface of the Young Volcanic Island of Surtsey, Iceland. Front. Microbiol. 12:728977. doi: 10.3389/fmicb.2021.728977"
PRJNA1205709,Volcanic/Basaltic (Iceland — Fagradalsfjall),WGS metagenome,Rapid microbial colonization of new lava from 2021-2023 Fagradalsfjall eruption. 126 SRA experiments ~30 Gb. NSF-funded (Univ. of Arizona). Temporal colonization dynamics on fresh basalt.,"Hadland, N., Hamilton, C.W., Björnsdóttir, S. et al. Three eruptions at the Fagradalsfjall Volcano in Iceland show rapid and predictable microbial community establishment. Commun Biol 8, 1657 (2025). https://doi.org/10.1038/s42003-025-09044-1"
PRJEB10725,Temperate Grassland/Prairie (Oklahoma + Alaska),WGS metagenome,Oklahoma prairie + Alaska tundra 1-year soil warming experiment. 48 SRA experiments ~754 Gb. Shotgun metagenome + 16S. Published in Frontiers in Microbiology (2016).,"Johnston ER, Rodriguez-R LM, Luo C, Yuan MM, Wu L, He Z, Schuur EAG, Luo Y, Tiedje JM, Zhou J and Konstantinidis KT (2016) Metagenomics Reveals Pervasive Bacterial Populations and Reduced Community Diversity across the Alaska Tundra Ecosystem. Front. Microbiol. 7:579. doi: 10.3389/fmicb.2016.00579"
PRJNA825700,Temperate Grassland/Prairie (New Zealand),WGS metagenome,Shotgun metagenomic sequences from soil across New Zealand. 67 SRA experiments ~191 Gb. Land-use change impact on soil microbial function. Univ. of Auckland.,"Louisson, Z., Hermans, S.M., Buckley, H.L. et al. Land use modification causes slow, but predictable, change in soil microbial community composition and functional potential. Environmental Microbiome 18, 30 (2023). https://doi.org/10.1186/s40793-023-00485-x"
PRJNA1019501,Glacial Forefield / Deglaciated Soils (Svalbard),WGS metagenome,Deglaciated Svalbard arctic soils. ~87 Gb WGS. N fixation and P solubilization as key colonization traits in recently exposed mineral soils.,"Roy, S., Dawson, R.A., Bradley, J.A. et al. Prevalence and dynamics of antimicrobial resistance in pioneer and developing Arctic soils. BMC Microbiol 25, 50 (2025). https://doi.org/10.1186/s12866-025-03745-7"
PRJNA1180576,Glacial Forefield / Deglaciated Soils,WGS metagenome,SUN SPEARS: Soil development and ecological succession in glacial ecosystem. Primary succession chronosequence — bare rock to colonized soil. Young mineral-dominated soils.,"S K Schmidt, M A Cramm, A J Solon, J A Bradley, C P Bueno de Mesquita, M O Cimpoiasu, R R Rubin, R Quispe Pilco, O Kuras, T P Irons, Biological soil crust microcolonies reveal how microbial communities assemble following retreat of a High Arctic glacier, FEMS Microbes, Volume 6, 2025, xtaf007, https://doi.org/10.1093/femsmc/xtaf007"
PRJNA783767,Iron-Rich Lateritic Soils (Kerala India),Metagenome,Laterite soil metagenome — Kerala India. Saline hydromorphic + laterite soils. Fe/Al oxide-enriched. ~131 Mb. Kerala Agricultural University.,"Boby Vattekkattu Unnikrishnan, N.K. Binitha, Mahesh Mohan,
Distinct microbiome and nutrient status of a saline hydromorphic soil under rice cultivation in comparison with laterite soil,
Ecological Genetics and Genomics,
Volume 24,
2022,
100133,
ISSN 2405-9854,
https://doi.org/10.1016/j.egg.2022.100133."
